V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1.083098311,-0.755659467,1.348624378,-0.644413389,-0.209495221,0.77994892,0.042110651,-0.110191475,0.610441312,0.823819455,-2.00753688,0.892600171,1.609079479,0.244717939,-0.019723057,-0.009562632,0.344044956,1.80970945,-0.780511292,-0.564125909,-0.208339903,-0.017170308,-0.13812197,-0.647059267,0.443979146,1.428588907,-0.163121638,-0.026849651,3466.47,0
0.948291288,-0.504181313,0.436114355,-1.076519715,0.16164184,0.065625858,0.510405511,-0.184365716,0.988278483,0.264724903,0.243676291,3.059175618,0.894865541,0.904672498,0.068928146,-0.126370177,0.505926086,0.053423893,0.332516526,-0.19441501,-0.060211969,0.477002837,-0.220048009,0.627032738,1.363630986,-1.394086206,-0.180472375,-0.079878283,10509.34,0
-0.146830566,-0.228214221,1.560843544,-0.812175038,0.718463121,1.584721291,0.739913748,-0.112597131,0.608062243,0.702436194,0.183990378,1.348669753,-0.258092048,0.504947046,0.053504776,-0.209487696,0.687143109,-0.596752802,-0.869719282,-0.145939889,-0.147503314,0.257435804,-0.19663749,-2.085161497,-0.735737214,0.618835609,-0.571737926,-0.88196337,23861.49,0
0.056325756,-0.092756493,1.308030587,-0.596852243,0.261059708,-0.117505409,0.70989873,-0.168191225,0.276700589,0.401486691,-0.753128701,0.544723846,0.129770454,0.503031431,1.044860988,0.73029735,0.44407321,0.235263305,-0.291289429,-0.047522052,-0.210610598,-0.654080439,-0.034456977,0.692471764,-0.343425549,0.178339728,0.055084664,0.137193926,21570.88,0
-0.009266895,-0.241944886,0.240773918,-2.80698344,1.69416111,1.874324831,0.655502311,-0.019801921,1.10215048,0.309443778,-0.662130047,0.662889747,-0.1678996,0.78373071,1.283586791,0.310877198,0.14507254,0.662061889,-0.010613168,0.126371459,-0.11190192,0.171062141,-0.340931222,2.234598937,0.386492943,-2.137190576,0.184372686,-0.004138416,15902.1,0
0.840844759,-0.797290417,0.235390043,-0.919660307,0.294134511,0.892671649,0.417542903,-0.144959035,-0.21367516,0.962454138,-0.552939277,1.052691305,1.317560666,0.878922837,0.439694717,0.038846223,0.237877703,1.156639566,-0.34481541,-0.166693973,-0.421374418,-1.884877747,-0.06623706,-2.717411915,-0.029504657,0.18057651,-0.295098151,-0.031317131,11112.39,0
-0.305986961,-0.337522118,1.108468333,-0.534346684,0.543362474,-0.029301246,0.620504546,-0.154624928,0.43663191,0.563235964,-0.53771526,0.735511409,0.537959197,0.423077793,1.462565663,0.53684977,0.514878534,-0.04757271,-0.541451763,-0.331358468,-0.264828469,-0.465379423,0.7848516,0.08511062,-0.048485998,0.322393511,0.326536337,-0.040919179,17020.23,0
0.072355025,-0.297863455,0.276604308,-2.760802783,1.726306628,1.881421167,0.659225909,-0.022494584,0.961393045,0.212842593,-0.676375059,0.656903329,-0.167115751,0.825779144,1.26464605,0.322050587,0.147103331,0.67496433,0.014886582,-0.004469761,-0.10025221,0.191885741,-0.352477506,2.244774195,0.300667613,-2.150268395,0.050969775,-0.149365296,24025.72,0
0.952811734,-0.440429498,1.313443246,-0.09815415,-0.057483409,0.370548287,0.271414951,-0.139775016,1.03492349,0.508872685,-1.093877399,1.291466617,0.744095724,0.47457663,0.079236762,0.496621048,0.352140249,0.229777281,-0.400609996,-0.258347321,-0.125429149,0.027547987,-0.036798343,0.864221852,0.642160749,-1.000367698,-0.149239771,-0.004063646,22805.41,0
-0.263526292,-0.252048068,1.793149431,-0.524658489,0.074429718,0.42256173,0.51614276,-0.104249777,0.944898305,0.640237263,-0.825754926,0.91750868,0.187804313,0.431943624,0.074334726,0.175640349,0.528771623,-0.030712888,-0.608268692,0.141138821,-0.067827261,0.726290178,-0.108160326,1.019650794,-0.235126842,1.018617121,0.500705568,0.950936906,22958.04,0
-0.685598849,-0.018219188,1.031299871,0.492624994,-0.197453121,0.756241409,-0.05315058,0.366639667,0.051700604,0.784525316,-1.556007668,0.981756323,0.366523883,1.188535286,0.841420599,0.528061696,0.920679814,0.203708925,0.242190579,-0.226055658,-0.09185735,-0.066583789,-0.516240068,0.303647908,-0.017608474,0.625691849,-0.041505728,-0.723100932,12121.32,0
0.072355025,-0.297863455,0.276604308,-2.760802783,1.726306628,1.881421167,0.659225909,-0.022494584,0.961393045,0.212842593,-0.676375059,0.656903329,-0.167115751,0.825779144,1.26464605,0.322050587,0.147103331,0.67496433,0.014886582,-0.004469761,-0.10025221,0.191885741,-0.352477506,2.244774195,0.300667613,-2.150268395,0.050969775,-0.149365296,10402.14,0
0.072355025,-0.297863455,0.276604308,-2.760802783,1.726306628,1.881421167,0.659225909,-0.022494584,0.961393045,0.212842593,-0.676375059,0.656903329,-0.167115751,0.825779144,1.26464605,0.322050587,0.147103331,0.67496433,0.014886582,-0.004469761,-0.10025221,0.191885741,-0.352477506,2.244774195,0.300667613,-2.150268395,0.050969775,-0.149365296,13104.28,0
-0.955310899,0.81777587,0.291140621,-2.504015448,0.051616115,-0.02951322,0.837866751,-0.26076831,5.068459895,7.175026771,0.241983577,1.077014438,0.23265223,-0.132656177,0.262529028,0.512605291,0.008428843,0.137155748,-1.190146933,3.079984953,-0.508770447,-0.575763899,0.053119152,-0.057549617,1.447094058,1.47894462,2.827567765,1.379362337,21597.94,0
